section	vendor	toledo_number	type	english_description	chinese_description	serving_size	unit	total_calories_cal	percent_cal	calories_from_fat_fat_cal	total_fat_g	percent_fat	saturated_fat_g	percent_sat_fat	trans_fat_g	cholesterol_mg	percent_chol	sodium_mg	percent_sod	total_carbohydrate_g	percent_carb	dietary_fiber_g	percent_diet	sugars_g	protein_g	percent_pro
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S SPRITE 5 		12	oz	140	0.07	0	0	0	0	0	0	0	0	65	0.03	38	0.13	0	0	38	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S PIBB		12	oz	140	0.07	0	0	0	0	0	0	0	0	40	0.02	39	0.13	0	0	39	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S FANTA STRAWBERRY 		12	oz	160	0.08	0	0	0	0	0	0	0	0	45	0.02	45	0.15	0	0	44	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S DIET COKE		12	oz	0	0	0	0	0	0	0	0	0	0	40	0.02	0	0	0	0	0	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S FANTA ORANGE		12	oz	160	0.08	0	0	0	0	0	0	0	0	55	0.02	44	0.15	0	0	44	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S COKE COLA		12	oz	140	0.07	0	0	0	0	0	0	0	0	45	0.02	39	0.13	0	0	39	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S M MAID LEMONADE		12	oz	150	0.08	0	0	0	0	0	0	0	0	50	0.02	42	0.14	0	0	40	0	0
grocery	coca_cola	28267600000	drink	FOUNTAIN DRINK S DR PEPPER		12	oz	150	0.08	0	0	0	0	0	0	0	0	55	0.02	40	0.13	0	0	40	0	0
cold_deli	tawa_services_dc	20100300000	import	BEAN CURD [FU PIANN]	∏Øƒc	0.5	lb	480.82	0.24	267.62	29.48	0.45	0	0	0	0	0	133.81	0.06	9.07	0.03	4.54	0.18	0	47.63	0.95
cold_deli	tawa_services_dc	20100200000	import	BEAN CURD [FU PAO]	∏Ø∞¸	0.5	lb	480.82	0.24	267.62	29.48	0.45	0	0	0	0	0	133.81	0.06	9.07	0.03	4.54	0.18	0	47.63	0.95
cold_deli	tawa_services_dc	20100100000	import	BEAN CURD [FU CHANG]	∏Ø∆¨	0.5	lb	480.82	0.24	267.62	29.48	0.45	0	0	0	0	0	133.81	0.06	9.07	0.03	4.54	0.18	0	47.63	0.95
cold_deli	tawa_services_dc	20104700000	import	PAI YEH KNOT	∞ŸÌìΩY	0.5	lb	245.4	0.12	0	0	0	0	0	0	0	0	218.86	0.09	21.32	0.07	0	0	0	39.92	0.8
cold_deli	tawa_services_dc	20100400000	import	BEAN CURD [MIEN CHANG]	¸Iƒc	0.5	lb	340.2	0.17	68.04	7.48	0.12	0	0	0	0	0	0	0	18.82	0.06	0	0	0	45.36	0.91
cold_deli	tawa_services_dc	20165000000	import	WHITE BEAN CURD THREAD	∞◊«¨Ωz	0.5	lb	307.31	0.15	71.44	7.94	0.12	2.72	0.14	0	0	0	39.92	0.02	18.6	0.06	5.44	0.22	0	39.92	0.8
cold_deli	tawa_services_dc	28761500000	import	FROZEN FRIED GLUTEN DOU ZAU	∂πóó	1	lb	335.66	0.17	181.44	18.14	0.28	4.54	0.23	0	0	0	1206.58	0.5	9.07	0.03	4.54	0.18	9.07	31.75	0.64
cold_deli	tawa_services_dc	20117000000	import	RADISH SLICED	≤À∆‘ól	1	lb	235.87	0.12	0	0	0	0	0	0	0	0	9888.48	4.12	61.69	0.21	26.31	1.05	35.38	13.61	0.27
cold_deli	tawa_services_dc	20117100000	import	RADISH MINCED	≤À∆‘¡£	1	lb	235.87	0.12	0	0	0	0	0	0	0	0	9888.48	4.12	61.69	0.21	26.31	1.05	35.38	13.61	0.27
cold_deli	tawa_services_dc	20100500000	import	BEAN CAKE [PLAIN/SMALL]	‘≠Œ∂–°∂π«¨	0.5	lb	292.57	0.15	131.54	14.52	0.22	5.22	0.26	0	0	0	45.36	0.02	10.66	0.04	0	0	0	29.48	0.59
cold_deli	tawa_services_dc	20101200000	import	BEAN CURD [KAO FU]	øæ˚ü	0.5	lb	270.35	0.14	4.08	0.45	0.01	0	0	0	0	0	15.88	0.01	14.06	0.05	0	0	0.45	52.39	1.05
cold_deli	tawa_services_dc	20102600000	import	FRIED TOFU FLOWER	ª®«¨”Õ∂π∏Ø	0.25	lb	298.24	0.15	204.12	22.68	0.35	8.51	0.43	0	0	0	14.18	0.01	2.84	0.01	1.13	0.05	0	24.15	0.48
cold_deli	tawa_services_dc	20104200000	import	BEAN CURD BLACK CHICKEN	∫⁄ÀÿÎu	0.5	lb	368.55	0.18	204.12	22.68	0.35	17.01	0.85	0	0	0	56.7	0.02	11.34	0.04	5.67	0.23	0	48.31	0.97
cold_deli	tawa_services_dc	20104300000	import	BEAN CURD YI CHICKEN	¸SÀÿÎu	0.5	lb	368.55	0.18	204.12	22.68	0.35	17.01	0.85	0	0	0	56.7	0.02	11.34	0.04	5.67	0.23	0	48.31	0.97
cold_deli	tawa_services_dc	20100600000	import	BEAN CAKE [SPICE/SMALL]	ŒÂœ„–°∂π«¨	0.5	lb	292.57	0.15	131.54	14.52	0.22	5.22	0.26	0	0	0	45.36	0.02	10.66	0.04	0	0	0	29.48	0.59
cold_deli	tawa_services_dc	20101600000	import	FRIED TOFU SQUARE[S]	ÀƒΩ«”Õ≈›	0.25	lb	358.34	0.18	251.75	28.01	0.43	3.97	0.2	0	0	0	19.96	0.01	2.72	0.01	0	0	0	24	0.48
cold_deli	tawa_services_dc	28250200000	import	FROZEN BEANCURD(TWC)	¥Û∂π«¨∂°	0.5	lb	292.57	0.15	131.54	14.52	0.22	5.22	0.26	0	0	0	45.36	0.02	10.66	0.04	0	0	0	29.48	0.59
cold_deli	tawa_services_dc	28250200000	import	SPICED BEAN CURD DICED	∂π«¨¡£	0.5	lb	292.57	0.15	131.54	14.52	0.22	5.22	0.26	0	0	0	45.36	0.02	10.66	0.04	0	0	0	29.48	0.59
cold_deli	tawa_services_dc	20101100000	import	SMOOTH CHEWY BEAN CURD	∞Ÿ»~∂π«¨	0.5	lb	491.48	0.25	340.2	37.88	0.58	5.67	0.28	0	0	0	680.4	0.28	2.27	0.01	0	0	0	34.02	0.68
cold_deli	tawa_services_dc	20165100000	import	FRIED TOFU TRIANGLE	»˝Ω«”Õ∂π∏Ø	0.25	lb	358.34	0.18	251.75	28.01	0.43	3.97	0.2	0	0	0	19.96	0.01	2.72	0.01	0	0	0	23.93	0.48
cold_deli	tawa_services_dc	4498796002	import	SEAWEED KNOT	∫£éßΩY	0.18	lb	53.36	0.03	0	0	0	0	0	0	0	0	37.36	0.02	5.34	0.02	0	0	0	5.34	0.11
