dataset,category,vendor,article_no,article_description_en,article_description_ch,pack_size,source,serving_size,total_calories_cal,calories_from_fat_fat_cal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbohydrate_g,dietary_fiber_g,sugars_g,protein_g
Master List SRS Transfer,Material,Grocery,1118633,TABASCO HOT SAUCE,,24/2OZ,1231 Sushi,1,0,0,0,0,0,0,402.43,0,0,0,0
Master List SRS Transfer,Material,Grocery,1131522,SPAM LUNCHEON MEAT,世棒午餐肉-原味,24/12OZ,https://ndb.nal.usda.gov/ndb/foods/show/300771?man=&lfacet=&count=&max=25&qlookup=Spam&offset=&sort=default&format=Abridged&reportfmt=other&rptfrm=&ndbno=&nutrient1=&nutrient2=&nutrient3=&subset=&totCount=&measureby=&Qv=4.536&Q325668=2.0&Qv=1&Q325668=2.0,1,1429,1085.94,120.66,45.3,0,0,6400,20.87,0,0,60.78
Master List SRS Transfer,Material,Grocery,1154001,TROPICAL PANCAKE SYRUP,（胡桃）糖漿,,60 mL x 1.39 g/mL,,1103.65,0,0,0,0,0,689.78,281.43,0,231.77,0
Master List SRS Transfer,Material,Grocery,1159835,DOLE SEEDLESS RAISIN C,,,https://ndb.nal.usda.gov/ndb/foods/show/09299?fgcd=&manu=&format=&count=&max=25&offset=&sort=default&order=asc&qlookup=raisin&ds=SR&qt=&qp=&qa=&qn=&q=&ing=,1,1343,22.05,2.45,0.81,0,0,127,355.94,30.8,0,11.43
Master List SRS Transfer,Material,Grocery,1299105,PECAN,胡桃（半颗）,,,,3134.38,2938.1,326.46,28.03,0,0,0,62.87,43.55,18.01,41.6
Master List SRS Transfer,Material,Grocery,1299119,FROZEN EGG YOLKS,冷凍蛋黃,1EA/30LB,https://ndb.nal.usda.gov/ndb/foods/show/299393?fgcd=&manu=&lfacet=&format=&count=&max=25&offset=&sort=default&order=asc&qlookup=EGG+YOLK&ds=SR&qt=&qp=&qa=&qn=&q=&ing=,1,1460.59,1083.47,120.39,43.32,0,4921.56,217.73,16.28,0,2.54,71.94
Master List SRS Transfer,Material,Grocery,1299150,BUTTER,奶油塊,1/36LB,https://ndb.nal.usda.gov/ndb/foods/show/01145?fgcd=&manu=&format=&count=&max=25&offset=&sort=default&order=asc&qlookup=butter&ds=SR&qt=&qp=&qa=&qn=&q=&ing=,1,3252.31,3311.23,367.91,229.02,0,975.24,49.9,0.27,0,0.27,3.86
Master List SRS Transfer,Material,Grocery,1503504,ICE BAG-7LB,,,,1,0,0,0,0,0,0,18.14,0,0,0,0
Master List SRS Transfer,Material,Grocery,1601035,ASN/TAS JASMINE RICE 10LBS 0000,東之味長春香米,1/50LB(25/50)2560LB,Label,1,1542.24,54.43,0,0,0,0,0,362.88,0,0,27.22
Master List SRS Transfer,Material,Grocery,1601400,KODA SWEET RICE,KODA糯米,,,1,1713.6,20.16,0,0,0,0,0,372.96,10.08,0,30.24
Master List SRS Transfer,Material,Grocery,1601400,KODA SWEET RICE (SHOCHIKUBAI) 10LBS,ＫＯＤＡ糯米,6/10LB (42),,1,1713.6,20.16,0,0,0,0,0,372.96,10.08,0,30.24
Master List SRS Transfer,Material,Grocery,1602496,WU-MU BOX YELLOW-NOODLE,五木台灣油麵,12/4LB(40),Label,1,2652.87,123.71,13.75,0,0,0,4096.15,536.07,13.75,13.75,96.22
Master List SRS Transfer,Material,Grocery,1603222,SUNVOI SPRING ROLL WRPPR-TRNGL,象陽越南米紙,44/12OZ (36),https://images-na.ssl-images-amazon.com/images/I/91zkdcFXo6L._SY679_.jpg,1,1587.6,0,0,0,0,0,700.41,393.56,6.67,6.67,0
Master List SRS Transfer,Material,Grocery,1605011,PRB BROWN ROCK SUGAR,珠江黃冰糖-盒裝,50/1LB (56),Label,1,1818.94,0,0,0,0,0,5.44,449.06,0,439.99,0
Master List SRS Transfer,Material,Grocery,1605011,ROCK SUGAR YELLOW,黃冰糖,,Sample ,1,1814.4,0,0,0,0,0,0,453.6,0,453.6,0
Master List SRS Transfer,Material,Grocery,1605042,SUGAR,糖,1/50 LB,,1,1701,0,0,0,0,0,0,453.6,0,453.6,0
Master List SRS Transfer,Material,Grocery,1605082,KIMBO BROWN SUGAR,金寶台灣黑糖,24/10.5OZ,,1,1809.86,0,0,0,0,0,13.61,452.69,0,449.93,0
Master List SRS Transfer,Material,Grocery,1605215,JIKABIYAKI HNKTS DASHI NO MOTO,直火燒柴魚精-大盒,,,1,1360.8,0,0,0,0,0,78019.2,90.72,0,90.72,90.72
